Key,Status,Applied On,Notes,Bucket,Title,Employer,Location,Drive time,Requirement evidence,Posted,First seen,Last seen,URL
PACS Group::JR179656,closed,,,Level I / new grad,RN,PACS Group,Sunnyvale,30-60,"...d nursing, post-acute, or long-term care setting is highly preferred, but passionate new grads are welcome to apply. Skills: Excellent clinical judgment, strong communication skills, and a ge...",2026-08-24,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://pacs.wd108.myworkdayjobs.com/pacs/job/Sunnyvale-Gardens-Post-Acute/RN_JR179656
Alameda Health System::2201399,unapplied,,,Level I / new grad,AHD Registered Nurse - Park Bridge,Alameda Health System,"2401 Blanding Avenue, Alameda, CA",<30,...lor's degree preferred. Minimum Experience: One year of directly related experience. New graduates will be considered. Required Licenses/Certifications: Valid license to practice as a...,,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2201399-ahd-registered-nurse-park-bridge
PACS Group::JR147473,unapplied,,,No experience required,RN,PACS Group,Sonoma,60-90,"Supportive Culture: Experience a supportive work environment where every team member is valued and respected. Prior experience in a skilled nursing or long-term care facility preferred, but not requir",2025-08-26,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://pacs.wd108.myworkdayjobs.com/pacs/job/Sonoma-Post-Acute/RN_JR147473
PACS Group::JR179445,unapplied,,,No experience required,RN,PACS Group,San Jose,60-90,Responsibilities Provide direct nursing care to residents in accordance with established care plans Administer medications and treatments accurately and on schedule Monitor and document resident condi,2026-08-21,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://pacs.wd108.myworkdayjobs.com/pacs/job/White-Blossom-Care-Center/RN_JR179445
PACS Group::JR176905,unapplied,,,No experience required,RN,PACS Group,Los Gatos,60-90,Skilled nursing or long-term care experience preferred,2026-07-30,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://pacs.wd108.myworkdayjobs.com/pacs/job/Vasona-Creek-Healthcare-Center/RN_JR176905
PACS Group::JR179817,unapplied,,,No experience required,RN,PACS Group,Monterey,90-120,"Experience in skilled nursing, rehabilitation, or long-term care preferred.",2026-08-25,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://pacs.wd108.myworkdayjobs.com/pacs/job/Cypress-Ridge-Care-Center/RN_JR179817
PACS Group::JR175934,unapplied,,,Requirements unclear,RN,PACS Group,Roseville,90-120,Minimum of two (2) years of nursing experience preferred Long-term care or skilled nursing experience pr,2026-07-21,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://pacs.wd108.myworkdayjobs.com/pacs/job/Roseville-Care-Center/RN_JR175934
PACS Group::JR174365,unapplied,,,No experience required,NOC RN,PACS Group,Auburn,90-120,"What We’re Looking For: ✅ Current and in good standing RN license in the State of California ✅ Strong leadership and communication skills ✅ Compassionate, dependable, and committed to resident-centere",2026-07-07,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://pacs.wd108.myworkdayjobs.com/pacs/job/Rock-Creek-Care-Center/Registered-Nurse_JR174365
PACS Group::JR155963,unapplied,,,No experience required,RN- part time,PACS Group,Santa Rosa,90-120,"Previous experience in a skilled nursing facility, long-term care, or geriatric care preferred.",2025-12-10,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://pacs.wd108.myworkdayjobs.com/pacs/job/Santa-Rosa-Post-Acute/RN--part-time_JR155963
PACS Group::JR155539,unapplied,,,No experience required,RN,PACS Group,Santa Rosa,90-120,"Previous experience in a skilled nursing facility, long-term care, or geriatric care preferred.",2025-12-04,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://pacs.wd108.myworkdayjobs.com/pacs/job/Santa-Rosa-Post-Acute/RN_JR155539
